"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VIEXM6QC","conferencePaper","2024","Dürre, Jan; Werner, Norbert","DECT-2020 NR for Professional Live Audio: Design Space Exploration and Practical Evaluation","2024 IEEE 5th International Symposium on the Internet of Sounds (IS2)","979-8-3503-6652-5","","10.1109/IS262782.2024.10704159","https://ieeexplore.ieee.org/document/10704159/","This paper presents an in-depth evaluation of the DECT-2020 New Radio (NR) standard for professional live audio applications, focusing on latency as a critical performance indicator. The evaluation uses the nRF91 modem series by Nordic Semiconductor, currently the first and only available devices with DECT-2020 support. We evaluate the potential of DECT-2020 by exploring the design space of the standard, explaining the complexity of trade-offs between latency, RF resource utilization, and transmission robustness. We then present our measurement setup, to analyze the performance. Based on a series of practical latency measurements with different configurations, we identify potential operation points for transmitting wireless audio over DECT-2020 and conclude that the minimum achievable latency with the current DECT2020 modem implementation is 2.312 ms, at a cost of about onethird of the RF channel resources. Our results represent a minimum latency estimation as only the physical layer is currently available as an implementation, and other key performance indicators were not considered in this work. These findings provide valuable insights into the current state of DECT-2020 for professional live audio applications and highlight areas for future exploration.","2024-09-30","2026-03-24 13:20:36","2026-07-08 13:46:41","2026-03-24 13:20:36","1-7","","","","","","DECT-2020 NR for Professional Live Audio","","","","","IEEE","Erlangen, Germany","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/PSK69LU6/Dürre and Werner - 2024 - DECT-2020 NR for Professional Live Audio Design Space Exploration and Practical Evaluation.pdf; /home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/U6VGLP7B/85207817806.html","","","5G; Resource management; URLLC; Standards; Wireless communication; Physical layer; Current measurement; DECT-2020 New Radio; Modems; NR+; professional live audio; Radio frequency; Robustness; Semiconductor device measurement; Space exploration; wireless microphone","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 IEEE 5th International Symposium on the Internet of Sounds (IS2)","","","","","","","","","","","","","","",""
"VJXW8LI8","conferencePaper","2025","Samuylov, Andrey; Glazkov, Roman; Moltchanov, Dmitri; Pirskanen, Juho; Numminen, Jussi; Valkama, Mikko","Performance of DECT-2020 NR and FCC-Based Mesh IoT Systems in DECT Bands","2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring)","979-8-3315-3147-8","","10.1109/VTC2025-Spring65109.2025.11174654","https://ieeexplore.ieee.org/document/11174654/","DECT-2020 NR is a recently standardized radio access technology (RAT) for massive machine-type 5G communications operating in the license-exempt and licensed bands. By relying on multi-hop communications and listen-before-talk (LBT) medium access, DECT-2020 NR allows for cost-controlled flexible deployments. However, the medium access procedures for some of the bands currently used by classic DECT systems are strictly regulated by long-standing policies in the USA. The goal of this study was to evaluate and compare the performance of DECT-2020 NR and medium access specified by the Federal Communications Commission (FCC) for the Unlicensed Personal Communications Service (UPCS) band. Our results demonstrate that in a mesh system, the use of FCC access rules leads to drastic performance degradation, resulting in less than 85% of delivered packets compared to 98-99% for DECT-2020 NR. This results in a slight 1-2% degradation for coexisting classic DECT devices. For efficient use of the UPCS band, we recommend revisiting current FCC rules, allowing for LBT-based operations.","2025-06-17","2026-03-24 13:20:45","2026-07-08 13:43:52","2026-03-24 13:20:45","1-6","","","","","","","","","","","IEEE","Oslo, Norway","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/NK4X2SEN/Samuylov et al. - 2025 - Performance of DECT-2020 NR and FCC-Based Mesh IoT Systems in DECT Bands.pdf","","","Topology; Performance evaluation; Resource management; Timing; algorithms; Degradation; DECT-2020 NR; mMTC; New Radio; NR+; IoT; multi-hop; Radio access technologies; Vehicular and wireless technologies; topology; FCC; Personal communication networks; Stars","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring)","","","","","","","","","","","","","","",""
"LSITZZ47","conferencePaper","2025","Glazkov, Roman; Samuylov, Andrey; Gaydamaka, Anna; Moltchanov, Dmitri; Pirskanen, Juho; Numminen, Jussi; Valkama, Mikko","Improving Near-URLLC Services Performance Over Multi-Hop Topologies in DECT-2020 NR Systems","2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring)","979-8-3315-3147-8","","10.1109/VTC2025-Spring65109.2025.11174908","https://ieeexplore.ieee.org/document/11174908/","DECT-2020 NR is a radio access technology designed for 5G Internet of Things (IoT) applications. By leveraging multi-hop communications and listen-before-talk (LBT) mechanisms, DECT-2020 NR offers a flexible and cost-effective deployment solution for massive machine-type communications (mMTC). The ETSI standardization committee currently considers extending use-case options to ultra-reliable low-latency communications by enabling scheduled access along with LBT. However, this approach can increase the cost of the end systems. The aim of this study is to investigate whether standardized physical and medium access control (MAC) mechanisms, including power control, LBT, and priority queuing, can provide nearURLLC operation over multihop topologies. Our results show that to improve loss performance one needs to disable power control, use a shorter back-off window, and enable priority data transmission. For improving latency performance it is critical to use shorter acknowledgement (ACK) timeout and send ACKs immediately after data packet reception. Applying these techniques allows us to improve multi-hop URLLC latency performance by up to 30-80% and loss performance by up to 1020% depending on URLLC and mMTC traffic conditions with only negligible impact on mMTC traffic performance.","2025-06-17","2026-03-24 13:20:47","2026-07-08 13:45:24","2026-03-24 13:20:47","1-7","","","","","","","","","","","IEEE","Oslo, Norway","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/639RLIK5/Glazkov et al. - 2025 - Improving Near-URLLC Services Performance Over Multi-Hop Topologies in DECT-2020 NR Systems.pdf","","","Topology; Reliability; Ultra reliable low latency communication; URLLC; Internet of Things; Standardization; NR+; IoT; DECT-2020; Data communication; Media Access Control; multi-hop; Power control; Radio access technologies; Vehicular and wireless technologies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 IEEE 101st Vehicular Technology Conference (VTC2025-Spring)","","","","","","","","","","","","","","",""
"IR8XSMYQ","conferencePaper","2025","Gaidamaka, Yuliya; Nikolaev, Dmitry; Gaidamaka, Yuliya; Koucheryavy, Yevgeni","Optimizing Delays in Random Access Procedure of DECT-2020 by Estimation of Device States","2025 XIХ International Symposium on Problems of Redundancy in Information and Control Systems (Redundancy)","979-8-3315-4992-3","","10.1109/Redundancy68069.2025.11301564","https://ieeexplore.ieee.org/document/11301564/","Massive Machine-Type Communication (mMTC) enables the seamless connectivity of billions energy-efficient devices, forming the intelligent infrastructure for smart cities, automated industries, and real-time data-driven decision making. In this paper we investigate the modern mMTC technology Digital Enhanced Cordless Telecommunication New Radio (DECT2020 NR), focusing on random access (RA) procedure. The study develops a mathematical model characterizing the RA phase and proposes a hidden Markov model (HMM)-based method for estimating the number of competing devices. The research introduces and evaluates a delay reduction strategy wherein the RA phase duration is adapted based on the HMM-based estimation of the device state. Numerical results demonstrate the effectiveness of the proposed approach in optimizing RA performance. The findings contribute to improving DECT-2020 network efficiency by balancing RA and data transmission phases while minimizing latency.","2025-11-05","2026-03-24 13:20:53","2026-07-08 13:46:16","2026-03-24 13:20:53","1-5","","","","","","","","","","","IEEE","Moscow, Russian Federation","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/PW25JF6I/Gaidamaka et al. - 2025 - Optimizing Delays in Random Access Procedure of DECT-2020 by Estimation of Device States.pdf","","","random access; mMTC; DECT-2020; delay; hidden Markov model","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 XIX International Symposium on Problems of Redundancy in Information and Control Systems (Redundancy)","","","","","","","","","","","","","","",""
"NKL3SGM7","conferencePaper","2023","Samuylov, Andrey; Moltchanov, Dmitri; Pirskanen, Juho; Numminen, Jussi; Koucheryavy, Yevgeni; Valkama, Mikko","Performance Assessment of DECT-2020 NR and Classic DECT Coexistence Mechanisms","2023 IEEE 97th Vehicular Technology Conference (VTC2023-Spring)","979-8-3503-1114-3","","10.1109/VTC2023-Spring57618.2023.10200362","https://ieeexplore.ieee.org/document/10200362/","The recently standardized ETSI DECT-2020 New Radio (NR) technology promises to enable operator-independent Internet-of-Things (IoT) services. One of the supported operating bands is the 1880 − 1900 MHz band where IoT devices use one or more 1.728 MHz wide channels for multi-hop communications. It has been shown that such systems scale well to satisfy the requirements of 5G massive machine-type communications (mMTC). During the standardization process, the coexistence with classic DECT technology was addressed but the benefits of different options have not been deeply explored. In this paper, by utilizing system-level simulation techniques we evaluate several coexistence solutions for DECT-2020 and classic DECT systems including conventional listen-before-talk access (LBT), last-minute scan, and scheduling-based mechanisms. Our numerical results illustrate that the standard LBT operation ensures excellent performance with no more than 2% of packet drops for classic DECT, and still results in satisfactory DECT2020 operation under 25% of resources allocated to classic DECT. The use of last-minute-scan leads to drastic performance degradation of DECT-2020 (by more than 10% in terms of packet drops) as compared to the standard LBT-only operation. Finally, a scheduling-based mechanism allows to improve the LBT performance for DECT-2020 devices by 2-5%.","2023-06","2026-03-24 13:20:56","2026-07-08 13:43:42","2026-03-24 13:20:56","1-7","","","","","","","","","","","IEEE","Florence, Italy","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/S28XSVSR/Samuylov et al. - 2023 - Performance Assessment of DECT-2020 NR and Classic DECT Coexistence Mechanisms.pdf","","","Performance evaluation; Resource management; Internet of Things; Degradation; New Radio; IoT; DECT-2020; Vehicular and wireless technologies; Safety; coexistence","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2023 IEEE 97th Vehicular Technology Conference (VTC2023-Spring)","","","","","","","","","","","","","","",""
"2UTFZQWH","conferencePaper","2024","Waßmann, Mattes; Poets, Alexander; Peissig, Jürgen; Pilz, Jens","Performance of DECT-2020 NR in an industrial environment for varying RF bands","2024 Joint European Conference on Networks and Communications &amp; 6G Summit (EuCNC/6G Summit)","979-8-3503-4499-8","","10.1109/EuCNC/6GSummit60053.2024.10597084","https://ieeexplore.ieee.org/document/10597084/","As there are no publications regarding the performance of DECT-2020 NR in real-life scenarios yet, this work constitutes a first performance assessment of DECT-2020 NR in the 450, 1350 and 3700 MHz frequency bands at different numerologies with bandwidths ranging from 1.728 to 13.824 MHz. To show the benefits of DECT-2020 NR, it is compared to classic DECT in a Rayleigh fading channel. In the course of this evaluation, performance metrics such as Bit Error Rate (BER) and Packet Error Rate (PER) were considered. Furthermore, MATLAB-generated DECT-2020 NR packets were transmitted utilizing GNU Radio and Ettus USRPs. The measurements were conducted in an industrial production line. Overall, the packet error rates were found to be the best at 450 MHz, with a packet loss of less than 5 %. At 1350 MHz, a packet error rate of 15 % was observed, whereas at 3700 MHz, a maximum value of 10 % was recorded. The differences in PER for the different frequencies are attributed to the internal losses at higher frequencies in the used USRP B210s. Another aspect of this work focuses on characterizing the indoor channel of the production line using OFDM-based channel sounding. On average, an RMS delay spread of 65 ns was measured for a bandwidth of 13.824 MHz in the selected frequency bands.","2024-06-03","2026-03-24 13:20:58","2026-07-08 13:43:05","2026-03-24 13:20:58","610-615","","","","","","","","","","","IEEE","Antwerp, Belgium","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/WZFFI2FH/Waßmann et al. - 2024 - Performance of DECT-2020 NR in an industrial environment for varying RF bands.pdf","","","5G; DECT; DECT-2020; channel sounding; channel statistics; Doppler spectral density; power delay profile","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 Joint European Conference on Networks and Communications &amp; 6G Summit (EuCNC/6G Summit)","","","","","","","","","","","","","","",""
"GBM5LBLS","journalArticle","2026","Graf, Fabian; Watteyne, Thomas; Villnow, Michael","What to Expect When Using DECT NR+","IEEE Communications Magazine","","0163-6804, 1558-1896","10.1109/MCOM.001.2500286","https://ieeexplore.ieee.org/document/11303302/","DECT NR+ is the new kid on the block in wireless technologies: it re-purposes the 1.9 GHz Digital Enhanced Cordless Telecommunications (DECT) standard for IoT-type applications. How does DECT NR+ perform in practice and where should we be using it? The ambition of this article is to provide answers to those questions. We start by an overview of the fundamental principles of the physical layer. We then survey the DECT NR+ products on the market today. Using the nRF91 series from Nordic Semiconductor, we conduct a comprehensive set of hands-on power consumption and communication range measurements. Our results place DECT NR+ in a gap in-between existing technologies. Its range is comparable to long range standards such as IEEE 802.15.4g under certain parameter choices: 200 m in an urban setting, 6 km in the most favorable lineof-sight conditions. For higher order Modulation and Coding Schemes, range drops and is rather comparable to Wi-Fi. The nRF9161 draws significant power (at 3.7 V, 220 mA transmitting at +19 dBm, 45 mA receiving), approximately 10× higher than BLE radios. This is likely primarily due to earlystage design inefficiencies and the inherent complexity of the DECT NR+ physical layer, limiting its adoption in batterypowered applications. We conclude that DECT NR+ is particularly appropriate for applications that require a dynamic tradeoff between communication range and data rate, but are not cost-sensitive.","2026-02","2026-03-24 13:21:00","2026-07-08 13:45:01","2026-03-24 13:21:00","16-22","","2","64","","IEEE Commun. Mag.","","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/C3XX3PY8/Graf et al. - 2026 - What to Expect When Using DECT NR+.pdf","","","5G mobile communication; OFDM; Standards; Internet of Things; Symbols; Power demand; Physical layer; Semiconductor device measurement; Costs; Regulation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27TK6R39","conferencePaper","2022","Nihtila, Timo; Berg, Heikki","Energy Consumption of DECT-2020 NR Mesh Networks","2022 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit)","978-1-6654-9871-5","","10.1109/EuCNC/6GSummit54941.2022.9815770","https://ieeexplore.ieee.org/document/9815770/","ETSI DECT-2020 New Radio (NR) is a new flexible radio interface targeted to support a broad range of wireless Internet of Things (IoT) applications. Recent reports have shown that DECT-2020 NR achieves good delay performance and it has been shown to fulfill both massive machine-type communications (mMTC) and ultra-reliable low latency communications (URLLC) requirements for 5th generation (5G) networks. A unique aspect of DECT-2020 as a 5G technology is that it is an autonomous wireless mesh network (WMN) protocol where the devices construct and uphold the network independently without the need for base stations or core network architecture. Instead, DECT-2020 NR relies on part of the network devices taking the role of a router to relay data through the network. This makes deployment of a DECT-2020 NR network affordable and extremely easy, but due to the nature of the medium access protocol, the routing responsibility adds an additional energy consumption burden to the nodes, who in the IoT domain are likely to be equipped with a limited battery capacity. In this paper, we analyze by system level simulations the energy consumption of DECT-2020 NR networks with different network sizes and topologies and how the reported low latencies can be upheld given the energy constraints of IoT devices.","2022-06-07","2026-03-24 13:21:02","2026-07-08 13:44:44","2026-03-24 13:21:02","196-201","","","","","","","","","","","IEEE","Grenoble, France","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/68RYY4WN/Nihtila and Berg - 2022 - Energy Consumption of DECT-2020 NR Mesh Networks.pdf","","","5G; Performance evaluation; Ultra reliable low latency communication; Wireless communication; Analytical models; NR; IoT; DECT-2020; energy consumption; Energy consumption; mesh network; Mesh networks; Wireless mesh networks","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2022 Joint European Conference on Networks and Communications & 6G Summit (EuCNC/6G Summit)","","","","","","","","","","","","","","",""
"5TQ5MTTD","conferencePaper","2025","Haque, Md Mohaiminul; Säe, Joonas; Pirskanen, Juho; Valkama, Mikko","DECT-2020 NR Link Distance Performance in Varying Environments: Models and Measurements","2025 19th European Conference on Antennas and Propagation (EuCAP)","978-88-31299-10-7","","10.23919/EuCAP63536.2025.10999279","https://ieeexplore.ieee.org/document/10999279/","Digital Enhanced Cordless Telecommunications 2020 New Radio (DECT-2020 NR) has garnered recognition as an alternative for cellular 5G technology in the internet of things industry. This paper presents a study centered around the analysis of the link distance performance in varying environments for DECT-2020 NR. The study extensively examines and analyzes received signal strength indicator and resulting path loss values in comparison with theoretical models, as well as packet success rates (SR) and signal-to-noise ratio against varying distances. The measurements show that with an SR of over 90 %, an antenna height of 1.5 m, indoor link distances with a single device-to-device connection with 0 dBm transmission (TX) power can reach over 60 m in non-line-of-sight (NLOS) areas and up to 190 m in LOS areas with smaller −8 dBm TX power. Similarly, for outdoor use cases, link distances of over 600 m can be reached with +19 dBm TX power.","2025-03-30","2026-03-24 13:21:04","2026-07-08 13:45:21","2026-03-24 13:21:04","1-5","","","","","","DECT-2020 NR Link Distance Performance in Varying Environments","","","","","IEEE","Stockholm, Sweden","en","https://doi.org/10.15223/policy-029","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/NKMAIIG3/Haque et al. - 2025 - DECT-2020 NR Link Distance Performance in Varying Environments Models and Measurements.pdf","","","Performance evaluation; Internet of Things; Signal to noise ratio; DECT-2020 NR; Antenna measurements; internet of things; link-level measurements; Power measurement; radio propagation models; Received signal strength indicator; Smart buildings; Smart cities; Telecommunications; Transmitting antennas","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 19th European Conference on Antennas and Propagation (EuCAP)","","","","","","","","","","","","","","",""
"YEPBAD72","journalArticle","2025","Samuylov, Andrey; Moltchanov, Dmitri; Gaydamaka, Anna; Lyczkowski, Eike; Frotzscher, Andreas; Von Schoettler, Frank; Pirskanen, Juho; Numminen, Jussi; Salokannel, Juha; Llaguno, Endika; Pires, Rafael; Bayar, Dilara; Valkama, Mikko","Empowering Near-URLLC IoT with 5G DECT-2020 NR: Current State and the Road Ahead","IEEE Communications Magazine","","0163-6804, 1558-1896","10.1109/MCOM.002.2400385","https://ieeexplore.ieee.org/document/10945746/","DECT-2020 is a standardized multi-hop technology for 5G massive machine-type communications (mMTC). By relying on multi-hop communications, DECT-2020 allows for cost-controlled flexible deployments that enable a plethora of new services, whose requirements in terms of latency, reliability, and throughput are difficult to satisfy by utilizing cellular Internet-ofThings technologies (CIoT). In this article, we outline new DECT-2020 use-cases ranging from mMTC to ultra-reliable low-latency communications (URLLC), showing that many modern services lie between these two extremes. We utilize system level simulations to demonstrate how these “near-URLLC” use-cases are satisfied by the DECT-2020. We show that the current evolution of DECT-2020 can provide near-URLLC operation when no multi-hop communications are required, even under interference from competing URLLC/ mMTC traffic. However, provisioning of nearURLLC services over multiple hops requires additional enhancements.","2025-04","2026-03-24 13:21:30","2026-07-08 13:43:43","2026-03-24 13:21:30","130-136","","4","63","","IEEE Commun. Mag.","Empowering Near-URLLC IoT with 5G DECT-2020 NR","","","","","","","en","https://ieeexplore.ieee.org/Xplorehelp/downloads/license-information/IEEE.html","","","","DOI.org (Crossref)","","","","/home/ashuqullah-alizai/snap/zotero-snap/common/Zotero/storage/NAFLSULZ/Samuylov et al. - 2025 - Empowering Near-URLLC IoT with 5G DECT-2020 NR Current State and the Road Ahead.pdf","","","5G mobile communication; Protocols; Throughput; Reliability; Ultra reliable low latency communication; Standards; Interference; Cellular networks; Spread spectrum communication; Distance measurement","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
